
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
353 -1.48 2.3057E-07
354 -1.47 -9.14E-07
355 -1.46 6.798E-08
356 -1.45 7.1362E-07
357 -1.44 -6.1547E-07
358 -1.43 -3.1186E-07
359 -1.42 1.00171E-06
360 -1.41 -3.615E-08
361 -1.4 -8.7431E-07
362 -1.39 6.7019E-07
363 -1.38 2.5463E-07
364 -1.37 -8.8949E-07
365 -1.36 3.876E-08
366 -1.35 7.5232E-07
367 -1.34 -5.8049E-07
368 -1.33 -3.3594E-07
369 -1.32 9.7963E-07
370 -1.31 -2.546E-08
371 -1.3 -9.0464E-07
372 -1.29 6.4655E-07
373 -1.28 2.7261E-07
374 -1.27 -8.6447E-07
375 -1.26 2.24E-08
376 -1.25 7.7944E-07
377 -1.24 -5.7322E-07
378 -1.23 8.9727E-07
379 -1.22 6.439E-08
380 -1.21 -9.2672E-07
381 -1.2 -6.92E-07
382 -1.19 -5.0925E-07
383 -1.18 -4.5049E-07
384 -1.17 8.8389E-07
385 -1.16 -4.3E-09
386 -1.15 -9.2754E-07
387 -1.14 5.2379E-07
388 -1.13 -8.3645E-07
389 -1.12 -1.908E-07
390 -1.11 9.9221E-07
391 -1.1 -1.6723E-07
392 -1.09 -6.6496E-07
393 -1.08 8.6255E-07
394 -1.07 1.6392E-07
395 -1.06 -9.3209E-07
396 -1.05 2.297E-07
397 -1.04 5.6431E-07
398 -1.03 -7.7267E-07
399 -1.02 -2.3073E-07
400 -1.01 1.01593E-06
401 -1 1.66E-08
402 -0.99 -9.0945E-07
403 -0.98 -4.535E-07
404 -0.97 -2.456E-08
405 -0.96 -9.0276E-07
406 -0.95 6.3582E-07
407 -0.94 2.825E-07
408 -0.93 -8.4869E-07
409 -0.92 1.966E-08
410 -0.91 7.834E-07
411 -0.9 -5.7267E-07
412 -0.89 9.0451E-07
413 -0.88 6.777E-08
414 -0.87 -9.2102E-07
415 -0.86 -4.088E-07
416 -0.85 -1.68E-08
417 -0.84 -9.1794E-07
418 -0.83 6.264E-07
419 -0.82 3.1599E-07
420 -0.81 -8.1896E-07
421 -0.8 7.15E-09
422 -0.79 8.0431E-07
423 -0.78 -5.9667E-07
424 -0.77 9.2249E-07
425 -0.76 9.876E-08
426 -0.75 -9.1731E-07
427 -0.74 -4.2239E-07
428 -0.73 9.0564E-07
429 -0.72 -1.131E-08
430 -0.71 -9.1876E-07
431 -0.7 5.0191E-07
432 -0.69 -8.5842E-07
433 -0.68 -1.6361E-07
434 -0.67 9.6321E-07
435 -0.66 -3.2083E-07
436 -0.65 -5.7352E-07
437 -0.64 9.1316E-07
438 -0.63 7.567E-08
439 -0.62 -9.0883E-07
440 -0.61 -8.29E-08
441 -0.6 1.3862E-07
442 -0.59 -9.2041E-07
443 -0.58 -2.7913E-07
444 -0.57 1.00783E-06
445 -0.56 2.0273E-07
446 -0.55 -9.1464E-07
447 -0.54 1.2154E-07
448 -0.53 6.4609E-07
449 -0.52 -6.774E-07
450 -0.51 -2.7354E-07
451 -0.5 1.01646E-06
452 -0.49 -5.714E-08
453 -0.48 -7.8864E-07
454 -0.47 7.2641E-07
455 -0.46 2.2427E-07
456 -0.45 -9.1035E-07
457 -0.44 8.058E-08
458 -0.43 6.9469E-07
459 -0.42 -6.3118E-07
460 -0.41 -2.9359E-07
461 -0.4 1.00235E-06
462 -0.39 -3.978E-08
463 -0.38 -8.3363E-07
464 -0.37 6.7967E-07
465 -0.36 2.4102E-07
466 -0.35 -8.9421E-07
467 -0.34 4.921E-08
468 -0.33 7.3247E-07
469 -0.32 -5.918E-07
470 -0.31 -3.2115E-07
471 -0.3 9.846E-07
472 -0.29 -2.852E-08
473 -0.28 -8.6662E-07
474 -0.27 6.4863E-07
475 -0.26 2.6613E-07
476 -0.25 -8.704E-07
477 -0.24 2.815E-08
478 -0.23 7.6569E-07
479 -0.22 -5.5933E-07
480 -0.21 -3.4648E-07
481 -0.2 9.6449E-07
482 -0.19 -2.008E-08
483 -0.18 -8.8807E-07
484 -0.17 6.3268E-07
485 -0.16 2.9062E-07
486 -0.15 -8.4654E-07
487 -0.14 1.488E-08
488 -0.13 7.8946E-07
489 -0.12 -5.6696E-07
490 -0.11 9.1806E-07
491 -0.1 7.601E-08
492 -0.09 -9.0896E-07
493 -0.08 -5.0065E-07
494 -0.07 8.736E-07
495 -0.06 2.29E-08
496 -0.05 -8.9145E-07
497 -0.04 -9.0466E-07
498 -0.03 5.1942E-07
499 -0.02 -8.4744E-07
500 -0.01 -1.8743E-07
501 0 7.7209E-07
502 0.01 9.477E-07
503 0.02 9.3444E-07
504 0.03 1.1344E-07
505 0.04 -9.105E-07
506 0.05 -6.0906E-07
507 0.06 9.1718E-07
508 0.07 1.3209E-07
509 0.08 -9.1924E-07
510 0.09 -8.8786E-07
511 0.1 -8.9499E-07
512 0.11 5.3404E-07
513 0.12 -8.2487E-07
514 0.13 -2.0129E-07
515 0.14 9.9867E-07
516 0.15 -2.883E-08
517 0.16 -8.4057E-07
518 0.17 6.6215E-07
519 0.18 2.5895E-07
520 0.19 -8.8651E-07
521 0.2 3.416E-08
522 0.21 7.5426E-07
523 0.22 -5.6195E-07
524 0.23 -3.3247E-07
525 0.24 9.7447E-07
526 0.25 -2.183E-08
527 0.26 -8.729E-07
528 0.27 6.3973E-07
529 0.28 2.8465E-07
530 0.29 -8.593E-07
531 0.3 2.233E-08
532 0.31 7.7971E-07
533 0.32 9.408E-07
534 0.33 9.1337E-07
535 0.34 1.5486E-07
536 0.35 -9.1928E-07
537 0.36 -8.78E-07
538 0.37 6.439E-07
539 0.38 3.3513E-07
540 0.39 -8.0418E-07
541 0.4 4.386E-08
542 0.41 8.5729E-07
543 0.42 1.0159E-06
544 0.43 7.3688E-07
545 0.44 -6.6566E-07
546 0.45 4.618E-08
547 0.46 1.1459E-06
548 0.47 8.093E-07
549 0.48 1.0371E-06
550 0.49 1.9332E-06
551 0.5 1.4775E-06
552 0.51 1.6888E-06
553 0.52 4.1641E-06
554 0.53 4.4055E-06
555 0.54 6.5919E-06
556 0.55 1.07004E-05
557 0.56 1.3975E-05
558 0.57 2.0896E-05
559 0.58 2.8661E-05
560 0.59 3.9835E-05
561 0.6 5.6322E-05
562 0.61 7.5433E-05
563 0.62 9.9213E-05
564 0.63 0.00013287
565 0.64 0.0001709
566 0.65 0.00021356
567 0.66 0.00026353
568 0.67 0.0003216
569 0.68 0.00039161
570 0.69 0.00046479
571 0.7 0.00054648
572 0.71 0.00063804
573 0.72 0.00073886
574 0.73 0.00085973
575 0.74 0.00098563
576 0.75 0.00112478
577 0.76 0.0012781
578 0.77 0.0014476
579 0.78 0.0016337
580 0.79 0.0018548
581 0.8 0.0020796
582 0.81 0.0023232
583 0.82 0.0025866
584 0.83 0.0028715
585 0.84 0.0032017
586 0.85 0.0035294
587 0.86 0.0038761
588 0.87 0.0042446
589 0.88 0.0046342
590 0.89 0.0050711
591 0.9 0.005496
592 0.91 0.0059359
593 0.92 0.0063924
594 0.93 0.0068646
595 0.94 0.0073842
596 0.95 0.0078859
597 0.96 0.0083916
598 0.97 0.0089107
599 0.98 0.0094473
600 0.99 0.010029
601 1 0.0105806
602 1.01 0.0111496
603 1.02 0.011734
604 1.03 0.012312
605 1.04 0.012944
606 1.05 0.013534
607 1.06 0.014124
608 1.07 0.014736
609 1.08 0.015341
610 1.09 0.016008
611 1.1 0.016633
612 1.11 0.017256
613 1.12 0.017892
614 1.13 0.018533
615 1.14 0.019226
616 1.15 0.019875
617 1.16 0.020525
618 1.17 0.021199
619 1.18 0.021859
620 1.19 0.02256
621 1.2 0.023222
622 1.21 0.023879
623 1.22 0.024559
624 1.23 0.025232
625 1.24 0.025976
626 1.25 0.026646
627 1.26 0.027334
628 1.27 0.028028
629 1.28 0.02873
630 1.29 0.029428
631 1.3 0.030193
632 1.31 0.030876
633 1.32 0.031563
634 1.33 0.032278
635 1.34 0.03298
636 1.35 0.033746
637 1.36 0.03447
638 1.37 0.035204
639 1.38 0.035913
640 1.39 0.036635
641 1.4 0.037405
642 1.41 0.03816
643 1.42 0.038885
644 1.43 0.039599
645 1.44 0.040324
646 1.45 0.04111
647 1.46 0.041868
648 1.47 0.042633
