
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
331 8.3 -5.1065E-09 1.6321E-08
332 8.31 -6.0479E-09 1.703E-08
333 8.32 -3.4197E-09 1.7991E-08
334 8.33 -4.6419E-09 1.6833E-08
335 8.34 -5.6693E-09 1.6898E-08
336 8.35 -2.8601E-09 1.7455E-08
337 8.36 -4.1298E-09 1.7261E-08
338 8.37 -5.2401E-09 1.6096E-08
339 8.38 -6.1564E-09 1.7134E-08
340 8.39 -3.6035E-09 1.8021E-08
341 8.4 -4.7899E-09 1.6682E-08
342 8.41 -5.7939E-09 1.6955E-08
343 8.42 -3.0322E-09 1.7648E-08
344 8.43 -4.2879E-09 1.7195E-08
345 8.44 -5.3736E-09 1.6711E-08
346 8.45 -2.4536E-09 1.7182E-08
347 8.46 -3.7575E-09 1.7862E-08
348 8.47 -4.9362E-09 1.66E-08
349 8.48 -5.9089E-09 1.6938E-08
350 8.49 -3.2096E-09 1.7837E-08
351 8.5 -4.4491E-09 1.7218E-08
352 8.51 -5.5167E-09 1.6736E-08
353 8.52 -2.6497E-09 1.728E-08
354 8.53 -3.9367E-09 1.7662E-08
355 8.54 -5.079E-09 1.639E-08
356 8.55 -6.0263E-09 1.7027E-08
357 8.56 -3.3876E-09 1.7897E-08
358 8.57 -4.6022E-09 1.693E-08
359 8.58 -5.6361E-09 1.6886E-08
360 8.59 -2.8151E-09 1.7409E-08
361 8.6 -4.0929E-09 1.7304E-08
362 8.61 -5.2076E-09 1.6169E-08
363 8.62 -6.1354E-09 1.7078E-08
364 8.63 -3.5643E-09 1.8003E-08
365 8.64 -4.7571E-09 1.6748E-08
366 8.65 -5.7652E-09 1.6925E-08
367 8.66 -3.0085E-09 1.7608E-08
368 8.67 -4.2546E-09 1.7155E-08
369 8.68 -5.3571E-09 1.5896E-08
370 8.69 -6.2338E-09 1.7131E-08
371 8.7 -3.7409E-09 1.7885E-08
372 8.71 -4.907E-09 1.6609E-08
373 8.72 -5.8986E-09 1.6981E-08
374 8.73 -3.181E-09 1.781E-08
375 8.74 -4.4209E-09 1.7208E-08
376 8.75 -5.4945E-09 1.6778E-08
377 8.76 -2.6213E-09 1.7281E-08
378 8.77 -3.9173E-09 1.7654E-08
379 8.78 -5.0583E-09 1.6413E-08
380 8.79 -6.0093E-09 1.7E-08
381 8.8 -3.3809E-09 1.7943E-08
382 8.81 -4.5928E-09 1.6931E-08
383 8.82 -5.6297E-09 1.6864E-08
384 8.83 -2.8078E-09 1.741E-08
385 8.84 -4.0854E-09 1.7313E-08
386 8.85 -5.2011E-09 1.6568E-08
387 8.86 -2.2403E-09 1.7036E-08
388 8.87 -3.5556E-09 1.7972E-08
389 8.88 -4.7523E-09 1.6781E-08
390 8.89 -5.7618E-09 1.6871E-08
391 8.9 -2.9913E-09 1.7584E-08
392 8.91 -4.2532E-09 1.7157E-08
393 8.92 -5.3451E-09 1.6684E-08
394 8.93 -2.4335E-09 1.716E-08
395 8.94 -3.7295E-09 1.7934E-08
396 8.95 -4.9082E-09 1.6585E-08
397 8.96 -5.8895E-09 1.6955E-08
398 8.97 -3.1868E-09 1.7826E-08
399 8.98 -4.4272E-09 1.7187E-08
400 8.99 -5.5013E-09 1.6769E-08
401 9 -2.6338E-09 1.7298E-08
402 9.01 -3.9257E-09 1.7651E-08
403 9.02 -5.0686E-09 1.6373E-08
404 9.03 -6.018E-09 1.7024E-08
405 9.04 -3.3856E-09 1.7966E-08
406 9.05 -4.6123E-09 1.6899E-08
407 9.06 -5.6447E-09 1.6859E-08
408 9.07 -2.8344E-09 1.7457E-08
409 9.08 -4.1076E-09 1.7248E-08
410 9.09 -5.2251E-09 1.6603E-08
411 9.1 -2.2598E-09 1.7038E-08
412 9.11 -3.5903E-09 1.8005E-08
413 9.12 -4.7818E-09 1.6703E-08
414 9.13 -5.7899E-09 1.6948E-08
415 9.14 -3.0359E-09 1.7644E-08
416 9.15 -4.2926E-09 1.7232E-08
417 9.16 -5.3908E-09 1.671E-08
418 9.17 -2.4675E-09 1.7125E-08
419 9.18 -3.7875E-09 1.7798E-08
420 9.19 -4.9553E-09 1.6562E-08
421 9.2 -5.9254E-09 1.6967E-08
422 9.21 -3.2443E-09 1.7814E-08
423 9.22 -4.4783E-09 1.7096E-08
424 9.23 -5.5347E-09 1.6786E-08
