
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
426 9.25 -1.1286E-08 1.5984E-08
427 9.26 -1.2293E-08 8.9E-10
428 9.27 8.576E-09 -1.9327E-08
429 9.28 1.2854E-08 3.555E-09
430 9.29 -1.1499E-08 1.5523E-08
431 9.3 -1.2275E-08 4.21E-10
432 9.31 8.726E-09 -1.9018E-08
433 9.32 1.2884E-08 3.94E-09
434 9.33 -1.1684E-08 1.52E-08
435 9.34 -1.2345E-08 -1.71E-10
436 9.35 8.875E-09 -2.1605E-08
437 9.36 1.2808E-08 3.446E-09
438 9.37 -1.1386E-08 1.5697E-08
439 9.38 -1.2308E-08 7.08E-10
440 9.39 8.683E-09 -1.9166E-08
441 9.4 1.2846E-08 3.793E-09
442 9.41 -1.1638E-08 1.536E-08
443 9.42 -1.2356E-08 6.9E-11
444 9.43 8.774E-09 -1.8807E-08
445 9.44 1.2887E-08 4.084E-09
446 9.45 -1.1804E-08 1.5164E-08
447 9.46 -1.2418E-08 -5.06E-10
448 9.47 8.924E-09 -1.8461E-08
449 9.48 1.2942E-08 4.401E-09
450 9.49 -1.1964E-08 1.5103E-08
451 9.5 -1.3186E-08 -8.216E-09
452 9.51 1.185E-08 -3.07E-10
453 9.52 -9.517E-09 1.9475E-08
454 9.53 -1.2762E-08 -4.15E-09
455 9.54 1.0732E-08 -2.1815E-08
456 9.55 1.1762E-08 -1.136E-09
457 9.56 -9.312E-09 1.9858E-08
458 9.57 -1.2764E-08 -3.663E-09
459 9.58 1.0465E-08 -2.1989E-08
460 9.59 1.1751E-08 -1.972E-09
461 9.6 -8.968E-09 2.026E-08
462 9.61 -1.2816E-08 -3.137E-09
463 9.62 1.0142E-08 -2.2385E-08
464 9.63 1.1751E-08 -2.0004E-08
465 9.64 1.2607E-08 2.439E-09
466 9.65 -1.0729E-08 1.705E-08
467 9.66 -1.2465E-08 2.493E-09
468 9.67 8.1E-09 -2.0027E-08
469 9.68 1.2684E-08 2.823E-09
470 9.69 -1.1015E-08 1.6474E-08
471 9.7 -1.238E-08 1.837E-09
472 9.71 8.347E-09 -1.9758E-08
473 9.72 1.2784E-08 3.108E-09
474 9.73 -1.1206E-08 1.603E-08
475 9.74 -1.2303E-08 1.276E-09
476 9.75 8.511E-09 -1.9417E-08
477 9.76 1.2825E-08 3.419E-09
478 9.77 -1.1405E-08 1.5616E-08
479 9.78 -1.2308E-08 6.73E-10
480 9.79 8.664E-09 -1.9121E-08
481 9.8 1.2833E-08 3.824E-09
482 9.81 -1.1599E-08 1.5239E-08
483 9.82 -1.2337E-08 -1E-11
484 9.83 8.767E-09 -1.8781E-08
485 9.84 1.2894E-08 4.093E-09
486 9.85 -1.1803E-08 1.5119E-08
487 9.86 -1.234E-08 -5.51E-10
488 9.87 8.938E-09 -2.1686E-08
489 9.88 1.2782E-08 3.625E-09
490 9.89 -1.1544E-08 1.5521E-08
491 9.9 -1.228E-08 2.55E-10
492 9.91 8.708E-09 -2.1427E-08
493 9.92 1.2696E-08 3.118E-09
494 9.93 -1.1218E-08 1.5949E-08
495 9.94 -1.2333E-08 1.176E-09
496 9.95 8.51E-09 -1.9408E-08
497 9.96 1.2739E-08 3.454E-09
498 9.97 -1.1387E-08 1.5616E-08
499 9.98 -1.2221E-08 6.46E-10
500 9.99 8.636E-09 -1.9068E-08
501 10 1.2802E-08 3.825E-09
502 5 1.237E-08 2.456E-09
503 5.01 -1.046E-08 1.688E-08
504 5.02 -1.2177E-08 2.415E-09
505 5.03 7.922E-09 -1.9925E-08
506 5.04 1.2452E-08 2.802E-09
507 5.05 -1.0729E-08 1.643E-08
508 5.06 -1.2117E-08 1.823E-09
509 5.07 8.098E-09 -1.9581E-08
510 5.08 1.248E-08 3.075E-09
511 5.09 -1.0942E-08 1.6004E-08
512 5.1 -1.201E-08 1.12E-09
513 5.11 8.345E-09 -1.9337E-08
514 5.12 1.2507E-08 3.416E-09
515 5.13 -1.1111E-08 1.5523E-08
516 5.14 -1.1946E-08 5.34E-10
517 5.15 8.444E-09 -1.907E-08
518 5.16 1.2565E-08 3.819E-09
519 5.17 -1.1274E-08 1.5123E-08
520 5.18 -1.1948E-08 -4.3E-11
521 5.19 8.559E-09 -1.8654E-08
522 5.2 1.2569E-08 4.019E-09
523 5.21 -1.1437E-08 1.5087E-08
524 5.22 -1.1977E-08 -5.42E-10
525 5.23 8.627E-09 -2.1574E-08
526 5.24 1.2417E-08 3.666E-09
527 5.25 -1.1183E-08 1.5353E-08
528 5.26 -1.1932E-08 2.5E-10
529 5.27 8.39E-09 -1.8765E-08
530 5.28 1.236E-08 4.023E-09
531 5.29 -1.1371E-08 1.5089E-08
532 5.3 -1.1959E-08 -3.21E-10
533 5.31 8.481E-09 -1.8432E-08
534 5.32 1.2481E-08 4.251E-09
535 5.33 -1.1568E-08 1.5046E-08
536 5.34 -1.2685E-08 -8.177E-09
537 5.35 1.1317E-08 -3.97E-10
538 5.36 -9.2E-09 1.9303E-08
539 5.37 -1.2385E-08 -4.106E-09
540 5.38 1.0186E-08 -1.4402E-08
541 5.39 1.1407E-08 1.77E-10
542 5.4 -9.363E-09 1.9008E-08
543 5.41 -1.2401E-08 -4.388E-09
544 5.42 1.0456E-08 -1.4258E-08
545 5.43 1.2887E-08 7.713E-09
546 5.44 -1.1942E-08 5.43E-10
547 5.45 8.277E-09 -1.8945E-08
548 5.46 1.238E-08 3.788E-09
549 5.47 -1.1288E-08 1.5146E-08
550 5.48 -1.1976E-08 -7.1E-11
551 5.49 8.403E-09 -1.8616E-08
552 5.5 1.2468E-08 4.107E-09
553 5.51 -1.1474E-08 1.4981E-08
554 5.52 -1.1994E-08 -6.39E-10
555 5.53 8.535E-09 -1.829E-08
556 5.54 1.2496E-08 4.497E-09
557 5.55 -1.1698E-08 1.5052E-08
558 5.56 -1.272E-08 -8.315E-09
559 5.57 1.1363E-08 -8.3E-11
560 5.58 -9.259E-09 1.9203E-08
561 5.59 -1.2447E-08 -4.257E-09
562 5.6 1.0246E-08 -1.4289E-08
563 5.61 1.2725E-08 7.565E-09
564 5.62 -1.2023E-08 8.5E-10
565 5.63 8.147E-09 -1.9101E-08
566 5.64 1.2246E-08 3.639E-09
567 5.65 -1.1273E-08 1.5297E-08
568 5.66 -1.203E-08 2.39E-10
569 5.67 8.218E-09 -1.8829E-08
570 5.68 1.2243E-08 3.952E-09
571 5.69 -1.1521E-08 1.5044E-08
572 5.7 -1.2173E-08 -3.22E-10
573 5.71 8.299E-09 -1.8401E-08
574 5.72 1.2293E-08 4.238E-09
575 5.73 -1.1764E-08 1.5062E-08
576 5.74 -1.2222E-08 -9.53E-10
577 5.75 8.42E-09 -1.799E-08
578 5.76 1.2362E-08 4.82E-09
579 5.77 -1.1909E-08 1.4891E-08
580 5.78 -1.2953E-08 -8.374E-09
581 5.79 1.1353E-08 8.9E-11
582 5.8 -9.433E-09 1.9038E-08
583 5.81 -1.2452E-08 -4.361E-09
584 5.82 1.0344E-08 -1.4259E-08
585 5.83 1.2882E-08 7.749E-09
586 5.84 -1.1907E-08 6.44E-10
587 5.85 8.389E-09 -1.8922E-08
588 5.86 1.2484E-08 3.857E-09
