,,,
VD=,5,to,10
VG=,5,to,10
NO.,VD,ID,ISUB
V,A,A,
389,8.88,-1.2239E-08,1.618E-09
390,8.89,8.195E-09,-1.9437E-08
391,8.9,1.2548E-08,3.324E-09
392,8.91,-1.1178E-08,1.5688E-08
393,8.92,-1.2163E-08,4.38E-10
394,8.93,8.526E-09,-2.1259E-08
395,8.94,1.2522E-08,3.194E-09
396,8.95,-1.1046E-08,2.2321E-08
397,8.96,-1.225E-08,2.338E-09
398,8.97,7.919E-09,-1.9837E-08
399,8.98,1.2504E-08,3.041E-09
400,8.99,-1.0917E-08,1.6081E-08
401,9,-1.2179E-08,1.115E-09
402,9.01,8.341E-09,-1.9257E-08
403,9.02,1.2608E-08,3.652E-09
404,9.03,-1.1307E-08,1.5412E-08
405,9.04,-1.2178E-08,-3.6E-11
406,9.05,8.583E-09,-1.8509E-08
407,9.06,1.271E-08,4.275E-09
408,9.07,-1.1724E-08,1.5092E-08
409,9.08,-1.2906E-08,-8.182E-09
410,9.09,1.1723E-08,-1.29E-10
411,9.1,-9.368E-09,1.9124E-08
412,9.11,-1.2585E-08,-4.347E-09
413,9.12,1.0669E-08,-2.1163E-08
414,9.13,1.2939E-08,7.125E-09
415,9.14,-1.2229E-08,1.77E-09
416,9.15,8.133E-09,-1.9546E-08
417,9.16,1.2527E-08,3.314E-09
418,9.17,-1.1152E-08,1.5791E-08
419,9.18,-1.2175E-08,5.36E-10
420,9.19,8.468E-09,-1.897E-08
421,9.2,1.2677E-08,3.987E-09
422,9.21,-1.1506E-08,1.5132E-08
423,9.22,-1.2832E-08,-7.908E-09
424,9.23,1.166E-08,-6.54E-10
425,9.24,-9.224E-09,1.9427E-08
426,9.25,-1.2553E-08,-4.106E-09
427,9.26,1.0497E-08,-2.1379E-08
428,9.27,1.1641E-08,-9.53E-10
429,9.28,-9.087E-09,1.9595E-08
430,9.29,-1.2564E-08,-3.82E-09
431,9.3,1.0368E-08,-2.1537E-08
432,9.31,1.1603E-08,-1.329E-09
433,9.32,-8.985E-09,1.9775E-08
